aex_company,aex_company_name,action,negative_boundary,positive_boundary,time_limit_days,percentage_call,start_date,end_date
INGA,ING Group,,-0.13,0.02,29,0.025,16-12-2024,3-1-2025
ADYEN,Adyen,,-0.03,0.05,25,0.025,16-12-2024,3-1-2025
KPN,Koninklijke KPN,,-0.02,0.05,12,0.025,16-12-2024,3-1-2025
ASML,ASML Nederland,Buy,-0.20,0.20,21,0.1,16-12-2024,3-1-2025
BESI,BESI,Short,-0.05,0.11,20,0.025,16-12-2024,3-1-2025
AKZO,Akzonobel,,-0.12,0.09,28,0.025,16-12-2024,3-1-2025
NN,NN Group,Buy,-0.06,0.12,13,0.025,16-12-2024,3-1-2025
